ID,stress_score
TEST_0000,0.5842184
TEST_0001,0.8775464
TEST_0002,0.39015448
TEST_0003,0.5223424
TEST_0004,0.520776
TEST_0005,0.55644757
TEST_0006,0.7342206
TEST_0007,0.42508557
TEST_0008,0.5213542
TEST_0009,0.6580016
TEST_0010,0.8562214
TEST_0011,0.3483738
TEST_0012,0.6774072
TEST_0013,0.8338182
TEST_0014,0.57987505
TEST_0015,0.560835
TEST_0016,0.29962718
TEST_0017,0.24317117
TEST_0018,0.44912592
TEST_0019,0.741581
TEST_0020,0.3758717
TEST_0021,0.5412047
TEST_0022,0.5318984
TEST_0023,0.44210654
TEST_0024,0.52353585
TEST_0025,0.5219428
TEST_0026,0.5461947
TEST_0027,0.42011926
TEST_0028,0.39654455
TEST_0029,0.64929855
TEST_0030,0.53341615
TEST_0031,0.40680352
TEST_0032,0.3554802
TEST_0033,0.4016136
TEST_0034,0.45118383
TEST_0035,0.5451419
TEST_0036,0.5819551
TEST_0037,0.33863133
TEST_0038,0.44678643
TEST_0039,0.5083543
TEST_0040,0.451132
TEST_0041,0.45831352
TEST_0042,0.85947037
TEST_0043,0.43633583
TEST_0044,0.55637825
TEST_0045,0.65561295
TEST_0046,0.38284877
TEST_0047,0.44630718
TEST_0048,0.29825166
TEST_0049,0.5767372
TEST_0050,0.53928274
TEST_0051,0.8211373
TEST_0052,0.74223244
TEST_0053,0.55667096
TEST_0054,0.38537502
TEST_0055,0.43164372
TEST_0056,0.43636808
TEST_0057,0.54222786
TEST_0058,0.41345796
TEST_0059,0.5645448
TEST_0060,0.3878192
TEST_0061,0.5140725
TEST_0062,0.52311873
TEST_0063,0.7375693
TEST_0064,0.45261773
TEST_0065,0.5469202
TEST_0066,0.3346357
TEST_0067,0.3663607
TEST_0068,0.40423346
TEST_0069,0.6921542
TEST_0070,0.46165293
TEST_0071,0.50606656
TEST_0072,0.38747904
TEST_0073,0.687349
TEST_0074,0.5751653
TEST_0075,0.124743484
TEST_0076,0.36462796
TEST_0077,0.4143986
TEST_0078,0.4753908
TEST_0079,0.44642025
TEST_0080,0.43053856
TEST_0081,0.288735
TEST_0082,0.41361022
TEST_0083,0.42562723
TEST_0084,0.25107762
TEST_0085,0.49071422
TEST_0086,0.39275163
TEST_0087,0.6478371
TEST_0088,0.37938833
TEST_0089,0.6764058
TEST_0090,0.6277928
TEST_0091,0.39762154
TEST_0092,0.5880084
TEST_0093,0.15218817
TEST_0094,0.4423042
TEST_0095,0.3942016
