iter	MAE
0	0.2500419075
1	0.249164449
2	0.2485012306
3	0.2474675145
4	0.2463924428
5	0.2461258854
6	0.2451952482
7	0.2448888753
8	0.2441370561
9	0.2432818164
10	0.2430429879
11	0.2428271475
12	0.2418857164
13	0.2411476099
14	0.2402928208
15	0.2392866697
16	0.2385012478
17	0.2379597691
18	0.2373787109
19	0.2368332323
20	0.2362052713
21	0.2356359766
22	0.2356078422
23	0.2349792021
24	0.234777409
25	0.23452099
26	0.2339757933
27	0.2334823475
28	0.2328253012
29	0.2323127414
30	0.2317498144
31	0.2310747128
32	0.2299673666
33	0.2298786164
34	0.2291761799
35	0.2283012244
36	0.22824451
37	0.2278724537
38	0.2270430072
39	0.2266992718
40	0.2266481963
41	0.2266460094
42	0.2260141518
43	0.2259114826
44	0.2256572602
45	0.2251817514
46	0.2250330044
47	0.2246565859
48	0.2238825236
49	0.2238640393
50	0.2229931225
51	0.2223768931
52	0.2213388021
53	0.2212969772
54	0.2210024135
55	0.2203673497
56	0.2195694598
57	0.2187477748
58	0.2183908548
59	0.2179971857
60	0.2176973786
61	0.2174948331
62	0.2167957278
63	0.2162166906
64	0.2156661517
65	0.2154025517
66	0.2153580625
67	0.2150328221
68	0.214765851
69	0.2145512229
70	0.2142291305
71	0.2142056118
72	0.2137352234
73	0.213389046
74	0.2129984621
75	0.2127288465
76	0.2126074543
77	0.2125971155
78	0.212161994
79	0.2118256444
80	0.2118189108
81	0.2117476495
82	0.2111861636
83	0.2108621001
84	0.2106707361
85	0.2100775288
86	0.2099530127
87	0.2092319331
88	0.209037418
89	0.2090136757
90	0.2088661345
91	0.2080565139
92	0.2079331469
93	0.2077760239
94	0.2074278897
95	0.2072468705
96	0.2072252181
97	0.2065753719
98	0.2063881257
99	0.2063867115
100	0.2061706335
101	0.2057688463
102	0.2052369322
103	0.2049298026
104	0.2046632089
105	0.2037399436
106	0.2034650449
107	0.2032366034
108	0.2030307767
109	0.2027248693
110	0.2027229639
111	0.2021112552
112	0.2016934443
113	0.2016648484
114	0.2014920038
115	0.2011897835
116	0.201105015
117	0.2006978105
118	0.2001141589
119	0.1991325363
120	0.1984541851
121	0.1983036258
122	0.1982669889
123	0.1980449827
124	0.1975081739
125	0.1972475333
126	0.1967230356
127	0.1964983625
128	0.1960428328
129	0.1957399067
130	0.1953253121
131	0.1950375465
132	0.1947496936
133	0.1945191661
134	0.1943298714
135	0.1940645703
136	0.1937927738
137	0.1934911912
138	0.1932976995
139	0.1929254385
140	0.1926923766
141	0.1920014068
142	0.1916000947
143	0.1911938219
144	0.1908500674
145	0.1902858112
146	0.1900777664
147	0.1895909431
148	0.1890720421
149	0.1887770172
150	0.1884417847
151	0.1882932385
152	0.1880049462
153	0.1875504685
154	0.1874761089
155	0.1871582624
156	0.1869671658
157	0.186712347
158	0.1861292101
159	0.1859856888
160	0.1857623776
161	0.1853517469
162	0.184989063
163	0.1846723938
164	0.1846001693
165	0.1843084881
166	0.183777539
167	0.1834337633
168	0.1832462389
169	0.1831387125
170	0.1825161617
171	0.1818901269
172	0.1817680051
173	0.1813723503
174	0.1810228443
175	0.1808314527
176	0.1805627038
177	0.1800742946
178	0.1798669513
179	0.179683099
180	0.1791375924
181	0.1785127999
182	0.1783299733
183	0.1779945692
184	0.1775946012
185	0.1774897805
186	0.1769586148
187	0.1768054949
188	0.1766500782
189	0.1765421568
190	0.1764299227
191	0.1763210298
192	0.1762591858
193	0.1757208705
194	0.1751353292
195	0.1744034421
196	0.1742903273
197	0.1738429643
198	0.1731081703
199	0.1729404739
200	0.1728376192
201	0.1726683031
202	0.1723815406
203	0.172101036
204	0.1716016202
205	0.1710631812
206	0.170577751
207	0.1703264028
208	0.1702256301
209	0.1695255718
210	0.1691326937
211	0.1688775942
212	0.1684791637
213	0.1677317467
214	0.1674148683
215	0.1671244327
216	0.1667116829
217	0.1664702878
218	0.1663132472
219	0.1661280493
220	0.1660542466
221	0.1658051039
222	0.1656823753
223	0.1655356073
224	0.1649206345
225	0.1646962758
226	0.1645390859
227	0.1640450141
228	0.1637683193
229	0.1633454282
230	0.1631654132
231	0.1628576492
232	0.1625860701
233	0.162491573
234	0.16230561
235	0.1618125323
236	0.1615973276
237	0.1614082818
238	0.1611425823
239	0.1609206846
240	0.1604836067
241	0.1604678787
242	0.1594999541
243	0.1590497626
244	0.1589440717
245	0.158882507
246	0.1584513717
247	0.1583820356
248	0.1580634405
249	0.1577324802
250	0.157577028
251	0.1575040542
252	0.1573027693
253	0.1570878683
254	0.1568842385
255	0.1566582938
256	0.1562559316
257	0.1561031093
258	0.1560190194
259	0.1558678165
260	0.155523895
261	0.1552887987
262	0.1551813392
263	0.1547982124
264	0.1546413556
265	0.154433831
266	0.1542903011
267	0.1540300992
268	0.1539817151
269	0.1537765008
270	0.153644373
271	0.1535848055
272	0.1534455328
273	0.1532420383
274	0.1530538512
275	0.1530191176
276	0.152831812
277	0.152785655
278	0.1524510714
279	0.1523933503
280	0.1521079665
281	0.1518650425
282	0.1517380064
283	0.1517022267
284	0.1515367143
285	0.1512724044
286	0.1510435254
287	0.1508965525
288	0.1507115772
289	0.1505590861
290	0.1501272578
291	0.1500909004
292	0.1498637939
293	0.1497935903
294	0.1497223303
295	0.1495598469
296	0.1494037103
297	0.1489594078
298	0.1487375427
299	0.1484201204
300	0.1483545191
301	0.1480334811
302	0.1475376183
303	0.1473611752
304	0.1471391701
305	0.1469611667
306	0.1467504585
307	0.1462820305
308	0.1461346918
309	0.1460352197
310	0.1458939714
311	0.145557794
312	0.145279689
313	0.1450256533
314	0.1447908641
315	0.1445950371
316	0.1445070308
317	0.1444099896
318	0.1443679494
319	0.1442521101
320	0.1441563509
321	0.1438740672
322	0.1438623744
323	0.1436543855
324	0.1434556075
325	0.1432860861
326	0.1431015533
327	0.142960447
328	0.1427213509
329	0.1426424505
330	0.1425925693
331	0.1424780111
332	0.1423921959
333	0.1422376418
334	0.1418870608
335	0.1416760166
336	0.1413889011
337	0.1412182891
338	0.1410267222
339	0.1407633027
340	0.1406558024
341	0.1405138457
342	0.1403702919
343	0.1403004456
344	0.1399600791
345	0.1398904773
346	0.1398698507
347	0.1397771434
348	0.1397469018
349	0.1392353005
350	0.1390522095
351	0.1389430188
352	0.1388500904
353	0.138781726
354	0.1384392384
355	0.1381371274
356	0.1380094783
357	0.1377931323
358	0.1377063293
359	0.1374596201
360	0.1372701047
361	0.1370187686
362	0.1369455797
363	0.1366324164
364	0.1364701947
365	0.1361449203
366	0.1360190754
367	0.1357122292
368	0.1356765884
369	0.1355008126
370	0.1353124126
371	0.1352188311
372	0.1350594863
373	0.1348823715
374	0.1347293749
375	0.1346067847
376	0.1344820378
377	0.1342366967
378	0.1340996577
379	0.1340023746
380	0.1337832526
381	0.1337301203
382	0.1337066358
383	0.1336082723
384	0.1333274619
385	0.1332851465
386	0.1331850677
387	0.1330125993
388	0.1328928997
389	0.1327578275
390	0.1325049382
391	0.1323563512
392	0.1321134839
393	0.1319078523
394	0.1318884885
395	0.1316884662
396	0.1312397784
397	0.1309282697
398	0.1307966824
399	0.1307675483
400	0.1306940305
401	0.1304943746
402	0.130346744
403	0.1299815007
404	0.129831902
405	0.1296629077
406	0.1295329984
407	0.1294883223
408	0.1293173383
409	0.1292870385
410	0.1292374695
411	0.1292066873
412	0.1291707297
413	0.1290926994
414	0.1290152818
415	0.1289726443
416	0.1287270605
417	0.1287048452
418	0.1285375484
419	0.1282185899
420	0.127899231
421	0.1277696577
422	0.1275202185
423	0.1274185428
424	0.127173403
425	0.1270971674
426	0.1269354418
427	0.1268320781
428	0.1266437776
429	0.1265608957
430	0.1263786629
431	0.125858431
432	0.1257895686
433	0.1256647677
434	0.1255786844
435	0.1254190436
436	0.1253464296
437	0.1248859567
438	0.1248249841
439	0.1246922827
440	0.1245872202
441	0.1245698664
442	0.1243250206
443	0.1242189777
444	0.1239636047
445	0.1238882654
446	0.1238313925
447	0.1236466804
448	0.1235429443
449	0.1232936117
450	0.1231823148
451	0.1230172686
452	0.1229962168
453	0.1229640562
454	0.1228786735
455	0.1227703975
456	0.1225655247
457	0.1225141524
458	0.1224254163
459	0.1222646755
460	0.121854029
461	0.1217490992
462	0.1214859952
463	0.1214709482
464	0.1211819423
465	0.121120383
466	0.121007398
467	0.1209742783
468	0.1205818869
469	0.1204717643
470	0.1202941302
471	0.120172089
472	0.1201614022
473	0.1201502036
474	0.1200895541
475	0.1200518501
476	0.1199995827
477	0.1199044974
478	0.1196970474
479	0.1196546506
480	0.1195249204
481	0.1194274175
482	0.119398035
483	0.1193210769
484	0.1191102777
485	0.1189174559
486	0.1188501995
487	0.118821545
488	0.1186821357
489	0.1186001407
490	0.1185012011
491	0.118462046
492	0.11835457
493	0.1182629072
494	0.1181417535
495	0.117894351
496	0.1178355375
497	0.1177685526
498	0.1177398247
499	0.1175993482
500	0.1174304368
501	0.1171173299
502	0.1170825338
503	0.1169881053
504	0.1168228454
505	0.1166958384
506	0.116645398
507	0.1166436886
508	0.1164804843
509	0.1164669827
510	0.1163754797
511	0.1163055958
512	0.1160931953
513	0.11599025
514	0.1159666769
515	0.1159115157
516	0.1158442527
517	0.1156348721
518	0.1155648947
519	0.1155106849
520	0.1154842073
521	0.1154184577
522	0.115292203
523	0.115277252
524	0.1152348488
525	0.1151176755
526	0.1150453159
527	0.1148230208
528	0.1146850925
529	0.1145457216
530	0.1143770457
531	0.114279873
532	0.1140037344
533	0.1137795352
534	0.1137154533
535	0.1136255133
536	0.1135927346
537	0.1135381773
538	0.1133246944
539	0.1130326399
540	0.1129971319
541	0.1127898705
542	0.1127368652
543	0.1126451077
544	0.1125258911
545	0.1124702249
546	0.112391523
547	0.1122728337
548	0.1121021318
549	0.1120133652
550	0.1118877004
551	0.1118031482
552	0.1116117508
553	0.1116025106
554	0.1114336564
555	0.1112533814
556	0.1111434682
557	0.1110680937
558	0.1109626291
559	0.1109301224
560	0.1108860035
561	0.1107285663
562	0.1106654581
563	0.1105486331
564	0.1103425733
565	0.1101269427
566	0.1100947852
567	0.1100478672
568	0.1100275468
569	0.1100188345
570	0.109909374
571	0.1096967036
572	0.1096338001
573	0.1095598915
574	0.1094952324
575	0.1093611647
576	0.1092097366
577	0.1090795372
578	0.1090427654
579	0.1090323534
580	0.1088708832
581	0.1088284545
582	0.1087816409
583	0.1087590308
584	0.1087354745
585	0.1087235125
586	0.1086817757
587	0.1084944371
588	0.10834567
589	0.108256615
590	0.1081250732
591	0.1080953405
592	0.1080597247
593	0.1080188915
594	0.1079399401
595	0.1079070476
596	0.1078760229
597	0.1077989016
598	0.1077681634
599	0.1076024135
600	0.1074922291
601	0.1073864689
602	0.1073350807
603	0.1072203223
604	0.1071760877
605	0.1070548165
606	0.1070009927
607	0.1069277377
608	0.1068368306
609	0.1068197114
610	0.1066223706
611	0.1065819936
612	0.1064664162
613	0.1064300869
614	0.1063887866
615	0.1063612078
616	0.1062845534
617	0.1061670442
618	0.1061340052
619	0.1060061972
620	0.1059039969
621	0.1058703815
622	0.1056271556
623	0.1054929516
624	0.1054027338
625	0.1052962642
626	0.1052494359
627	0.1051460381
628	0.1050249945
629	0.1049961529
630	0.1049535104
631	0.1049275278
632	0.1048004882
633	0.1047682167
634	0.1046618827
635	0.1045215766
636	0.1043339197
637	0.1043051679
638	0.1042561178
639	0.1042077412
640	0.104150647
641	0.104095616
642	0.1039728649
643	0.103767988
644	0.1036600004
645	0.1035967926
646	0.1035791266
647	0.1035109791
648	0.1034899812
649	0.1034324713
650	0.1033595534
651	0.1033079473
652	0.1032280987
653	0.1031662814
654	0.1031155241
655	0.1030490905
656	0.1029936821
657	0.1029589906
658	0.1027102256
659	0.1026048534
660	0.1025223576
661	0.1024687356
662	0.1024387252
663	0.102371768
664	0.1022912855
665	0.1022160185
666	0.1020998271
667	0.1019640324
668	0.1018502896
669	0.1017208323
670	0.1016957027
671	0.1016647138
672	0.1016494751
673	0.1016398815
674	0.1015136057
675	0.1013778407
676	0.1013582058
677	0.1013199367
678	0.1012571332
679	0.1011219605
680	0.1009992513
681	0.1009724462
682	0.1009409669
683	0.1009216942
684	0.1008227881
685	0.1007943449
686	0.1007854757
687	0.1007724065
688	0.1006578221
689	0.100637956
690	0.1006263112
691	0.1005654446
