iter	Passed	Remaining
0	13	13105
1	27	13920
2	36	12036
3	44	11159
4	52	10534
5	55	9178
6	60	8572
7	63	7935
8	70	7783
9	78	7782
10	82	7379
11	84	6933
12	91	6912
13	96	6798
14	103	6794
15	109	6760
16	116	6745
17	121	6646
18	129	6683
19	136	6671
20	143	6674
21	148	6619
22	152	6463
23	157	6401
24	160	6254
25	166	6237
26	171	6175
27	178	6195
28	184	6191
29	189	6142
30	200	6280
31	206	6251
32	222	6532
33	226	6423
34	234	6469
35	243	6509
36	245	6396
37	251	6366
38	255	6303
39	262	6289
40	263	6168
41	265	6047
42	270	6023
43	277	6031
44	283	6014
45	290	6019
46	294	5975
47	300	5969
48	307	5966
49	310	5892
50	315	5871
51	320	5844
52	327	5849
53	329	5767
54	333	5738
55	337	5697
56	344	5696
57	348	5666
58	355	5664
59	361	5661
60	366	5647
61	372	5642
62	378	5632
63	385	5639
64	390	5612
65	396	5609
66	400	5577
67	405	5561
68	410	5545
69	416	5535
70	425	5566
71	429	5532
72	434	5521
73	438	5492
74	444	5480
75	449	5467
76	455	5464
77	457	5404
78	464	5410
79	468	5388
80	471	5354
81	478	5352
82	482	5330
83	488	5324
84	491	5294
85	497	5283
86	502	5270
87	507	5259
88	511	5237
89	514	5198
90	518	5176
91	522	5152
92	528	5150
93	533	5140
94	540	5146
95	544	5130
96	547	5095
97	552	5087
98	558	5083
99	559	5031
100	563	5014
101	570	5018
102	575	5013
103	582	5020
104	587	5004
105	592	4995
106	599	5000
107	604	4994
108	610	4987
109	614	4973
110	616	4936
111	622	4932
112	627	4921
113	629	4888
114	635	4888
115	640	4879
116	647	4883
117	652	4875
118	659	4880
119	663	4867
120	670	4873
121	675	4863
122	680	4851
123	685	4840
124	690	4836
125	697	4841
126	703	4838
127	710	4841
128	715	4829
129	720	4823
130	726	4819
131	730	4804
132	736	4804
133	742	4798
134	747	4792
135	751	4774
136	757	4771
137	764	4775
138	769	4766
139	774	4758
140	779	4750
141	785	4747
142	791	4742
143	798	4749
144	804	4744
145	809	4734
146	814	4725
147	819	4719
148	823	4705
149	831	4710
150	837	4706
151	844	4709
152	848	4696
153	853	4688
154	859	4684
155	864	4678
156	870	4673
157	876	4669
158	880	4658
159	886	4653
160	890	4641
161	897	4641
162	906	4652
163	909	4635
164	913	4622
165	918	4615
166	926	4620
167	930	4606
168	935	4601
169	940	4592
170	947	4593
171	953	4592
172	959	4586
173	963	4573
174	968	4565
175	974	4563
176	980	4557
177	987	4559
178	994	4559
179	999	4553
180	1006	4556
181	1011	4545
182	1015	4533
183	1020	4525
184	1026	4521
185	1032	4517
186	1037	4512
187	1044	4512
188	1049	4503
189	1054	4495
190	1060	4493
191	1065	4485
192	1071	4480
193	1076	4470
194	1080	4462
195	1086	4455
196	1093	4456
197	1097	4444
198	1101	4435
199	1107	4429
200	1112	4423
201	1117	4415
202	1122	4408
203	1128	4403
204	1135	4402
205	1140	4397
206	1147	4397
207	1151	4386
208	1157	4382
209	1164	4379
210	1169	4371
211	1177	4376
212	1182	4368
213	1187	4362
214	1193	4357
215	1199	4354
216	1204	4346
217	1210	4341
218	1216	4336
219	1219	4324
220	1224	4316
221	1228	4304
222	1234	4301
223	1238	4292
224	1243	4284
225	1248	4277
226	1254	4271
227	1258	4262
228	1265	4259
229	1270	4254
230	1278	4255
231	1282	4246
232	1289	4244
233	1295	4241
234	1300	4232
235	1306	4229
236	1312	4224
237	1318	4222
238	1326	4222
239	1331	4215
240	1336	4209
241	1343	4208
242	1348	4199
243	1353	4194
244	1360	4191
245	1366	4187
246	1371	4179
247	1377	4177
248	1384	4174
249	1389	4167
250	1394	4160
251	1400	4156
252	1404	4146
253	1411	4144
254	1416	4139
255	1422	4133
256	1428	4129
257	1435	4129
258	1440	4122
259	1446	4117
260	1451	4110
261	1457	4105
262	1464	4103
263	1471	4101
264	1475	4091
265	1480	4084
266	1486	4081
267	1493	4078
268	1498	4072
269	1505	4069
270	1511	4064
271	1517	4061
272	1522	4053
273	1528	4049
274	1535	4049
275	1540	4039
276	1545	4033
277	1549	4023
278	1554	4017
279	1561	4014
280	1565	4006
281	1571	4001
282	1577	3996
283	1584	3995
284	1589	3986
285	1594	3980
286	1599	3973
287	1604	3965
288	1607	3955
289	1611	3946
290	1620	3948
291	1629	3950
292	1633	3942
293	1642	3945
294	1649	3941
295	1655	3937
296	1659	3927
297	1664	3920
298	1671	3917
299	1677	3914
300	1686	3916
301	1689	3905
302	1694	3897
303	1699	3890
304	1705	3886
305	1710	3879
306	1715	3871
307	1720	3864
308	1725	3859
309	1730	3851
310	1736	3846
311	1741	3840
312	1746	3833
313	1752	3828
314	1757	3821
315	1763	3817
316	1770	3815
317	1776	3810
318	1781	3802
319	1787	3798
320	1791	3790
321	1797	3785
322	1804	3782
323	1810	3777
324	1818	3775
325	1823	3769
326	1829	3764
327	1835	3759
328	1839	3751
329	1845	3747
330	1851	3742
331	1857	3738
332	1863	3731
333	1868	3725
334	1873	3718
