ID,stress_score
TEST_0000,0.5400059
TEST_0001,0.8580196
TEST_0002,0.33778945
TEST_0003,0.47000143
TEST_0004,0.5356851
TEST_0005,0.56992006
TEST_0006,0.6447562
TEST_0007,0.4085468
TEST_0008,0.48065984
TEST_0009,0.8138968
TEST_0010,0.88609725
TEST_0011,0.42948556
TEST_0012,0.6673946
TEST_0013,0.84003955
TEST_0014,0.5986761
TEST_0015,0.5899
TEST_0016,0.46074876
TEST_0017,0.2058883
TEST_0018,0.51449084
TEST_0019,0.69655746
TEST_0020,0.30242002
TEST_0021,0.51084995
TEST_0022,0.5136245
TEST_0023,0.5409566
TEST_0024,0.4890248
TEST_0025,0.5026631
TEST_0026,0.6424345
TEST_0027,0.40390122
TEST_0028,0.62126106
TEST_0029,0.6816086
TEST_0030,0.5675504
TEST_0031,0.4433582
TEST_0032,0.37742177
TEST_0033,0.409998
TEST_0034,0.42475194
TEST_0035,0.65935826
TEST_0036,0.603321
TEST_0037,0.32874674
TEST_0038,0.47234613
TEST_0039,0.44841176
TEST_0040,0.40633923
TEST_0041,0.4772787
TEST_0042,0.8633224
TEST_0043,0.498663
TEST_0044,0.48782182
TEST_0045,0.58400875
TEST_0046,0.47147167
TEST_0047,0.5060657
TEST_0048,0.37159774
TEST_0049,0.5785386
TEST_0050,0.60560423
TEST_0051,0.8297256
TEST_0052,0.78649724
TEST_0053,0.4670954
TEST_0054,0.43335342
TEST_0055,0.45928782
TEST_0056,0.44223943
TEST_0057,0.605805
TEST_0058,0.44397682
TEST_0059,0.75859374
TEST_0060,0.73098713
TEST_0061,0.6083006
TEST_0062,0.5266914
TEST_0063,0.6771094
TEST_0064,0.45100072
TEST_0065,0.64059705
TEST_0066,0.4623568
TEST_0067,0.37438023
TEST_0068,0.5121798
TEST_0069,0.6614675
TEST_0070,0.44380477
TEST_0071,0.54808974
TEST_0072,0.40592763
TEST_0073,0.7000619
TEST_0074,0.51864564
TEST_0075,0.15241921
TEST_0076,0.49907234
TEST_0077,0.4193312
TEST_0078,0.45475215
TEST_0079,0.5098531
TEST_0080,0.39705166
TEST_0081,0.18829618
TEST_0082,0.43019453
TEST_0083,0.51695997
TEST_0084,0.22444876
TEST_0085,0.43686846
TEST_0086,0.37983897
TEST_0087,0.779055
TEST_0088,0.21250807
TEST_0089,0.7114916
TEST_0090,0.5735875
TEST_0091,0.4727646
TEST_0092,0.8813347
TEST_0093,0.16335557
TEST_0094,0.39255917
TEST_0095,0.4218881
TEST_0096,0.53316486
TEST_0097,0.63045055
TEST_0098,-0.014014234
TEST_0099,0.43983603
TEST_0100,0.49028328
TEST_0101,0.47159716
TEST_0102,0.7260124
TEST_0103,0.83047324
TEST_0104,0.3365901
TEST_0105,0.7130554
TEST_0106,0.4034697
TEST_0107,0.39486006
TEST_0108,0.6539028
TEST_0109,0.29248706
TEST_0110,0.43427747
TEST_0111,0.3344934
TEST_0112,0.3553666
TEST_0113,0.6772944
TEST_0114,0.6580044
TEST_0115,0.48979393
TEST_0116,0.35302302
TEST_0117,0.33633104
TEST_0118,0.8502157
TEST_0119,0.711424
TEST_0120,0.604646
TEST_0121,0.38232443
TEST_0122,0.44418314
TEST_0123,0.49863598
TEST_0124,0.5204929
TEST_0125,0.8180346
TEST_0126,0.70298463
TEST_0127,0.6336473
TEST_0128,0.5182931
TEST_0129,0.5325084
TEST_0130,0.4475209
TEST_0131,0.5776172
TEST_0132,0.8271387
TEST_0133,0.4249689
TEST_0134,0.68901896
TEST_0135,0.516036
TEST_0136,0.22415312
TEST_0137,0.7429377
TEST_0138,0.09471192
TEST_0139,0.1831837
TEST_0140,0.5490582
TEST_0141,0.5953956
TEST_0142,0.43850487
TEST_0143,0.5039755
TEST_0144,0.56674254
TEST_0145,0.6744926
TEST_0146,0.6505755
TEST_0147,0.32421246
TEST_0148,0.20007105
TEST_0149,0.41139966
TEST_0150,0.42292577
TEST_0151,0.4411518
TEST_0152,0.5079865
TEST_0153,0.095707454
TEST_0154,0.515995
TEST_0155,0.65826565
TEST_0156,0.41701424
TEST_0157,0.6485395
TEST_0158,0.44044578
TEST_0159,0.45856377
TEST_0160,0.32165962
TEST_0161,0.07076119
TEST_0162,0.52683777
TEST_0163,0.594725
TEST_0164,0.43963856
TEST_0165,0.6853138
TEST_0166,0.44269797
TEST_0167,0.7634285
TEST_0168,0.3555864
TEST_0169,0.4295694
TEST_0170,0.76146394
TEST_0171,0.9793104
TEST_0172,0.50637054
TEST_0173,0.5851286
TEST_0174,0.57756656
TEST_0175,0.465315
TEST_0176,0.52142096
TEST_0177,0.8228183
TEST_0178,0.41528767
TEST_0179,0.6750882
TEST_0180,0.18876146
TEST_0181,0.51367253
TEST_0182,0.49599627
TEST_0183,0.45179218
TEST_0184,0.47892913
TEST_0185,0.09835608
TEST_0186,0.59046173
TEST_0187,0.11869713
TEST_0188,0.4216999
TEST_0189,0.373764
